1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,2
1,1,1,1,1,0,1,2
1,1,1,1,1,0,0,4
1,1,1,1,0,1,1,5
1,1,1,0,1,1,1,5
1,1,0,1,1,1,1,5
1,1,1,1,0,1,0,8
1,1,1,0,1,1,0,8
1,1,0,1,1,1,0,8
1,1,1,1,0,0,1,8
1,1,1,0,1,0,1,8
1,1,0,1,1,0,1,8
1,1,1,1,0,0,0,14
1,1,1,0,1,0,0,14
1,1,0,1,1,0,0,14
1,1,1,0,0,1,1,17
1,1,0,1,0,1,1,17
1,1,0,0,1,1,1,17
1,1,1,0,0,1,0,20
1,1,0,1,0,1,0,20
1,1,0,0,1,1,0,20
1,1,1,0,0,0,1,20
1,1,0,1,0,0,1,20
1,1,0,0,1,0,1,20
1,1,1,0,0,0,0,26
1,1,0,1,0,0,0,26
1,1,0,0,1,0,0,26
1,1,0,0,0,1,1,29
1,1,0,0,0,1,0,30
1,1,0,0,0,0,1,30
1,1,0,0,0,0,0,32
1,0,1,1,1,1,1,33
1,0,1,1,1,1,0,34
1,0,1,1,1,0,1,34
1,0,1,1,1,0,0,36
1,0,1,1,0,1,1,37
1,0,1,0,1,1,1,37
1,0,0,1,1,1,1,37
1,0,1,1,0,1,0,40
1,0,1,0,1,1,0,40
1,0,0,1,1,1,0,40
1,0,1,1,0,0,1,40
1,0,1,0,1,0,1,40
1,0,0,1,1,0,1,40
1,0,1,1,0,0,0,46
1,0,1,0,1,0,0,46
1,0,0,1,1,0,0,46
1,0,1,0,0,1,1,49
1,0,0,1,0,1,1,49
1,0,0,0,1,1,1,49
1,0,1,0,0,1,0,52
1,0,0,1,0,1,0,52
1,0,0,0,1,1,0,52
1,0,1,0,0,0,1,52
1,0,0,1,0,0,1,52
1,0,0,0,1,0,1,52
1,0,1,0,0,0,0,58
1,0,0,1,0,0,0,58
1,0,0,0,1,0,0,58
1,0,0,0,0,1,1,61
1,0,0,0,0,1,0,62
1,0,0,0,0,0,1,62
1,0,0,0,0,0,0,64
0,1,1,1,1,1,1,65
0,1,1,1,1,1,0,66
0,1,1,1,1,0,1,66
0,1,1,1,1,0,0,68
0,1,1,1,0,1,1,69
0,1,1,0,1,1,1,69
0,1,0,1,1,1,1,69
0,1,1,1,0,1,0,72
0,1,1,0,1,1,0,72
0,1,0,1,1,1,0,72
0,1,1,1,0,0,1,72
0,1,1,0,1,0,1,72
0,1,0,1,1,0,1,72
0,1,1,1,0,0,0,78
0,1,1,0,1,0,0,78
0,1,0,1,1,0,0,78
0,1,1,0,0,1,1,81
0,1,0,1,0,1,1,81
0,1,0,0,1,1,1,81
0,1,1,0,0,1,0,84
0,1,0,1,0,1,0,84
0,1,0,0,1,1,0,84
0,1,1,0,0,0,1,84
0,1,0,1,0,0,1,84
0,1,0,0,1,0,1,84
0,1,1,0,0,0,0,90
0,1,0,1,0,0,0,90
0,1,0,0,1,0,0,90
0,1,0,0,0,1,1,93
0,1,0,0,0,1,0,94
0,1,0,0,0,0,1,94
0,1,0,0,0,0,0,96
0,0,1,1,1,1,1,97
0,0,1,1,1,1,0,98
0,0,1,1,1,0,1,98
0,0,1,1,1,0,0,100
0,0,1,1,0,1,1,101
0,0,1,0,1,1,1,101
0,0,0,1,1,1,1,101
0,0,1,1,0,1,0,104
0,0,1,0,1,1,0,104
0,0,0,1,1,1,0,104
0,0,1,1,0,0,1,104
0,0,1,0,1,0,1,104
0,0,0,1,1,0,1,104
0,0,1,1,0,0,0,110
0,0,1,0,1,0,0,110
0,0,0,1,1,0,0,110
0,0,1,0,0,1,1,113
0,0,0,1,0,1,1,113
0,0,0,0,1,1,1,113
0,0,1,0,0,1,0,116
0,0,0,1,0,1,0,116
0,0,0,0,1,1,0,116
0,0,1,0,0,0,1,116
0,0,0,1,0,0,1,116
0,0,0,0,1,0,1,116
0,0,1,0,0,0,0,122
0,0,0,1,0,0,0,122
0,0,0,0,1,0,0,122
0,0,0,0,0,1,1,125
0,0,0,0,0,1,0,126
0,0,0,0,0,0,1,126
0,0,0,0,0,0,0,128
