solutionID                    pena_latg                     pena_spd                      dynamic_obstacle_lethal_cost  pena_max_latg                 pena_a_max                    pena_a_min                    pena_curv_rate                dynamic_obstacle_high_cost    DO1.pos_x                     DO1.acc                       maxDangerOrig                 maxDangerMod                  crashOrig                     crashMod                      fitnessDanger                 fitnessWeightsDist            
37c870da                      2071.5604114942475            237.66629218900624            1.0587227371024361E8          5.18638800243318              23.094808402005974            16.295778788404434            20.151569014425863            9118.167236541707             64.50562480428542             2.4261233387575345            20.687581885881542            1.3591922935446092            true                          false                         -19.328389592336933           0.7529339728253209            
ddb82df                       2036.751493163038             166.8308377281366             9.316004629486176E7           5.379544402562066             23.107873908117813            15.91537527748758             19.953395926666403            9700.840698984439             54.49868088156441             2.8620435410822616            20.89670760488073             1.3032231048517202            true                          false                         -19.59348450002901            0.8038051166063751            
561ad7c0                      2849.0306915588126            234.00015988639635            9.944418020096414E7           4.790277548382129             19.064384543959527            18.27901883198014             21.086565843764554            10138.731014008838            58.79013555880277             2.2745309190468355            1.5737376882566856            1.5737376882566856            false                         false                         2000                          0.20303211313656627           
35615b29                      2955.8728657931765            245.9828122207973             9.912406704314539E7           4.813623683360632             16.10331985002849             19.947311027731846            19.427334158038498            10188.304215797636            58.13746611382632             0.014793496952403284          1.6386624282026112            1.5645737495710088            false                         false                         999.9259113213684             0.24319568413841516           
5422bacb                      2303.2594249899767            186.0010704074076             1.0524982504311642E8          4.729270545139518             21.799103000627195            16.28701083191449             19.600204578959435            10043.120668261456            64.63959806053525             2.29872360653808              20.345042254435217            1.3779817647859067            true                          false                         -18.96706048964931            0.5953199040930558            
7f7859f3                      3460.937226535909             240.14165403735905            9.984124127046011E7           5.052530572749855             23.072080607642842            19.864350607715703            24.675945906775755            9934.660932648394             63.50057093902358             2.256765787664787             20.168093609707924            1.637119935304652             true                          false                         -18.53097367440327            0.36833002350546207           
403d7158                      3080.2079325468117            235.06288829910244            9.912701232466361E7           5.212291073319089             21.361451470693307            17.672669402679773            23.118434048781843            9681.577107612904             56.866590882383235            1.3136149994840247            16.174675303267655            1.354688953684888             true                          false                         -14.819986349582766           0.2969735861102584            
2a49804                       2085.4542027270663            169.9221031329987             9.331419727640855E7           4.792415644491094             24.865032750973057            17.343051884208606            10.244984991313125            10791.557206875123            58.238932821825514            2.8620435410822616            21.453493787725876            1.2868453053451756            true                          false                         -20.1666484823807             0.9814755443651102            
abdcbac                       3378.7647163006964            240.9292789896449             1.0562441403405286E8          4.704535083731642             21.799103000627195            16.303649686882775            19.60997972924457             9775.9569483015               64.50073689079686             2.330859407384623             20.489653237196624            1.637119935304652             true                          false                         -18.85253330189197            0.44046696154789705           
45f1e8a9                      3555.3817889230795            240.40557714179351            1.001087478646326E8           4.719735998462326             21.756554998184544            16.295778788404434            19.600204578959435            10048.623350612534            64.63959806053525             2.29872360653808              20.345042254435217            1.6543321698333717            true                          false                         -18.690710084601847           0.3769450870075753            
5b1e9c75                      3105.196782301795             187.06441609184185            9.953960005356327E7           4.783013864068104             23.094808402005974            16.295778788404434            20.01372696051637             9108.825384414078             64.50562480428542             2.38488553606026              20.744622954606612            1.637119935304652             true                          false                         -19.10750301930196            0.6090038623730059            
63181002                      2101.6410794295334            172.45099401693074            9.219584041731915E7           5.379544402562066             21.739977518619735            17.343051884208606            10.381032698071671            10797.190621444735            56.49879234303694             2.8931460892129413            21.293443755719334            1.3109612629606138            true                          false                         -19.98248249275872            0.9776456108335777            
78249505                      2073.212190074888             246.24760474556822            1.06222614041579E8            4.783013864068104             23.094808402005974            16.2646577362171              20.0145671869094              9108.825384414078             64.50562480428542             2.430992412542667             20.70900553550902             1.3591922935446092            true                          false                         -19.349813241964412           0.7622559373584612            
4a0f875e                      3086.904598815857             278.2960283718652             9.93659830888686E7            4.852147808681802             23.112605614975767            16.253262227913655            22.308185753412644            10023.235349968523            64.49123049441853             2.258684698959392             20.16486727625921             1.6543321698333717            true                          false                         -18.510535106425838           0.31803287921745876           
